公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證-驗證單位,第三方驗證-單位名稱,第三方驗證-採用標準,公司網站報告書相關資訊(中文版),中文版永續報告書,中文版上傳日期,英文版永續報告書網址,英文版永續報告書,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註
"1101","台泥","TCC","5.股本達新臺幣五十億元以上者","水泥工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則公報第一號","https://www.taiwancement.com/tw/esgReport.html","t100sa11_1101_110.pdf","111/06/28","https://www.taiwancement.com/tw/esgReport.html","t100sa11_1101_110_E.pdf","2022/06/28","","","","","tcc_csr@taiwancement.com","",
"1102","亞泥","ACC","5.股本達新臺幣五十億元以上者","水泥工業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","SGS公司","AA1000 第2類型(Type2) 中度保證","https://csr.acc.com.tw/","t100sa11_1102_110.pdf","111/07/01","","","","t100sa11_1102_110_M.pdf","112/05/26","t100sa11_1102_110_M_E.pdf","2023/05/26","sheng.lin@acc.com.tw","",
"1103","嘉泥","CHC","5.股本達新臺幣五十億元以上者","水泥工業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會台灣分公司(BSI Taiwan)","AA1000 第1類型(Type1) 中度保證","https://www.chcgroup.com.tw/index.php?route=csr/csr&cid=6","t100sa11_1103_110.pdf","111/06/23","https://www.chcgroup.com.tw/index.php?route=csr/csr&cid=6","t100sa11_1103_110_E.pdf","2022/10/19","","111/06/23","","","kellyyu@chcgroup.com.tw","",
"1104","環泥","UCC","5.股本達新臺幣五十億元以上者","水泥工業","110/01/01~110/12/31","2. 其他依循標準：依循GRI永續報告核心準則及永續會計準則（SASB）之建築材料業準則","會計師事務所：","秉承聯合會計師事務所","確信準則公報第一號","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","t100sa11_1104_110.pdf","111/09/21","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","t100sa11_1104_110_E.pdf","2022/12/28","","","","","peter.chang@ucctw.com","",
"1108","幸福","LUCKY CEMENT","6.係自願編製與申報","水泥工業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.luckygrp.com.tw/upload/menu/20220622050747.pdf","t100sa11_1108_110.pdf","111/06/27","https://en.luckygrp.com.tw/upload/menu/20220624045054.pdf","t100sa11_1108_110_E.pdf","2022/06/27","","","","","barrychang@luckygrp.com.tw","",
"1110","東泥","TUNA CEMENT","5.股本達新臺幣五十億元以上者","水泥工業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.southeastcement.com.tw/index.php?q=csr","t100sa11_1110_110.pdf","111/06/23","","","","","111/06/23","","","southeast@secement.com","",
"1201","味全","WEI CHUAN","1.屬食品工業者、5.股本達新臺幣五十億元以上者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","https://www.weichuan.com.tw/files/CSRInfodisclosure/chro220927171510558.pdf","t100sa11_1201_110.pdf","111/09/27","","","","","","","","simon_chen@weichuan.com.tw","",
"1203","味王","VE WONG","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則公報第一號","https://www.vewong.com/ec99/ushop20069/profile-12.asp","t100sa11_1203_110.pdf","111/09/26","","","","","","","","niel@vewong.com.tw","無",
"1210","大成","GREATWALL","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","安侯建業聯合會計師事務所","確信準則公報第一號","https://www.dachan.com/csr","t100sa11_1210_110.pdf","111/09/16","","","","","","","","csr@ms.greatwall.com.tw","",
"1213","大飲","OCEANIC Bev.","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","馬施云大華聯合會計師事務所","確信準則公報第一號","http://applesidra.com.tw/","t100sa11_1213_110.pdf","111/09/29","","","","","","","","c5012903@ms23.hinet.net","",
